,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
216,677591,700033,719472,741864,764665,776024,795957,819015,840975,863702
217,677670,699985,719805,739820,764389,775794,795978,819051,841189,863834
218,677434,700063,719700,738768,764496,776005,796049,818876,841325,863913
219,677566,700170,719698,739430,764530,776104,796398,818999,841445,863931
220,677523,700225,719247,740902,764348,776155,796196,819014,841628,863833
221,677407,700221,719046,743017,764438,775882,796276,818961,841126,863719
222,677701,700204,719136,744590,764370,775766,796205,818955,841155,863753
223,677740,700164,719088,744465,764507,775835,795993,818907,841114,863858
224,677728,700321,719386,743179,764682,775700,795981,818958,841080,864170
225,677632,700110,False,741108,764622,775818,795834,818940,841079,864209
226,677347,700027,719649,739440,764456,776093,796019,818810,841038,863958
227,677407,700001,719478,738964,764481,776060,796501,818989,841255,863695
228,677367,699883,719175,739768,764555,776020,796378,818976,841492,863614
229,677510,700071,719056,741718,764677,775945,796398,819053,841566,863605
230,677723,700242,719120,743512,764533,False,796109,818872,841748,863441
231,677760,False,719197,744384,764626,775852,795768,818614,841430,863794
232,677847,700120,719263,743962,764576,775866,796100,818658,841212,863902
233,False,700074,719383,742508,764314,775850,796031,818671,841173,863916
234,677554,700127,719670,740803,764448,776081,False,818846,841037,863887
235,677535,700080,719653,739566,764236,775848,796064,819004,841265,863845
236,677905,700241,719429,739233,764452,775602,796262,818901,841289,863975
237,677641,700132,719090,740196,764681,775746,796129,819166,841351,863865
238,677573,700302,718726,741734,764646,775828,796301,818774,841690,863787
239,677400,700327,719118,743467,764821,775990,796253,818640,841154,863808
240,677305,700223,719525,744123,764730,776080,795841,818861,840956,863897
241,677536,700204,719573,743421,764597,False,796000,818520,841120,864166
242,677532,700101,719966,741966,764535,775731,795999,818751,841014,864317
243,677558,700186,719570,740360,764245,775865,796159,818829,841117,864216
244,677627,700298,719352,739578,764286,775875,796177,818840,False,864046
245,677396,700095,719162,739938,764451,775767,795892,818982,841537,863711
246,677436,700243,719002,740965,764649,775899,795899,818990,841319,863247
247,677419,700237,719123,742485,764965,775777,795890,819114,841398,863343
248,677655,700185,719059,743402,764809,775786,795979,818937,841327,863557
249,False,700119,719346,743520,764609,775944,False,818614,841172,863864
250,677517,699972,719529,742995,764453,775836,795925,818737,841133,863959
251,677595,700015,719586,741823,764207,776169,795840,818778,840940,863902
252,677597,700221,720097,740698,764344,775884,795875,818911,841141,863938
253,677524,700178,720010,740045,764420,775527,796100,819154,841361,863534
254,677703,700188,719592,740062,764453,775823,796280,818984,841477,863756
255,677668,700109,719011,741076,764680,775602,796192,819047,841564,863936
256,677449,700258,718600,742084,764609,775956,795927,818856,841180,863762
257,677461,700154,719000,742990,764754,775952,795777,818627,841345,863804
258,677313,699961,719382,743265,764551,False,795844,818677,841189,863625
259,677425,700239,719718,742509,764403,776010,795901,818694,840939,863755
260,677625,700205,719875,741626,764360,775949,795937,818932,841161,863808
261,677586,700148,719590,False,764075,775824,796151,819008,841178,863833
262,677659,700198,719551,6561791,764458,775578,796103,818973,841342,863930
263,677532,699934,719231,740147,764449,775784,796135,819012,841247,863625
264,677481,700167,718999,740557,764458,775754,796070,818759,841064,863621
265,677580,700297,719107,741143,764817,775793,795775,818722,841432,863700
266,677453,700208,718887,742120,764727,776015,795993,818931,841621,863710
267,677447,700269,719185,742808,764678,776039,795981,818910,841392,863973
268,677479,699910,719735,742978,764466,776123,795741,819024,841321,863921
269,677569,700019,719924,742716,764206,776123,795899,818880,841037,863967
270,677812,700256,720244,741613,764252,775983,796039,818933,841202,863836
271,677664,700171,719674,741004,764362,776035,796321,819073,841375,863521
272,677557,700436,False,740381,764476,775564,796220,818951,841314,863601
273,677527,700336,718651,740517,764558,775659,796175,819081,841594,863624
274,677298,700232,719130,741593,764727,775636,796401,818844,841462,863641
275,677480,700334,719593,742303,764920,775746,796124,818545,841183,863948
276,677590,700084,719806,742750,764745,776309,796151,818727,841298,863894
277,677580,700086,719903,742844,764402,776066,796161,False,841233,864038
278,677577,700119,719700,742036,764207,776190,795783,818676,841440,864138
279,677622,700086,719739,741336,763990,775962,795863,818723,841270,863842
280,677812,700146,719245,740805,764066,775802,795815,818703,841078,863815
281,677652,699897,718780,740639,764418,775743,796056,818837,841306,863712
282,677355,700049,718738,741155,764514,775609,False,819020,841202,863640
283,677425,700085,718852,741693,764916,775896,5767167,819224,841237,863753
284,677285,700038,719368,742354,764878,776030,796486,819348,841184,863770
285,677621,700212,720003,742583,764700,776042,796804,818993,841191,863916
286,677755,700106,720073,742264,764561,776032,796275,818864,841228,863959
287,677719,700253,719941,741991,764251,776073,795903,818760,841061,863970
288,677699,700282,False,741377,764051,775874,795687,818513,841181,863941
289,677365,700146,719797,741082,763953,775797,795403,818675,841301,863657
290,677437,700114,720141,741049,764202,775634,795936,818897,841203,863679
291,677582,699952,719797,741284,764617,775658,796038,819093,841355,863764
292,677443,699939,719352,741921,764865,775841,796274,819315,841139,863846
293,677598,700081,719019,742087,765092,775646,796678,819129,841114,863893
294,677582,699931,718646,742233,764797,775992,796621,819223,841422,863863
295,677522,700154,718789,742314,764429,776050,796671,818819,841438,863949
296,677775,False,719318,741723,764200,775949,796288,818497,841405,864135
297,677558,700362,719712,741250,764078,775820,795955,818703,841132,863867
298,677709,700135,720007,740814,764253,775625,795661,818747,841060,863935
299,677638,700180,719663,740989,764460,775754,795386,819033,841354,863784
300,False,700148,719397,741708,764647,775774,795716,819223,841057,863836
301,2709671,699994,719331,742209,764934,775841,795986,819004,841171,863909
302,339506,700130,False,742532,764879,775839,796325,819239,841408,863667
303,677750,700087,719042,742303,764765,775709,796708,819266,841266,False
304,677633,700117,719309,741792,764445,775774,796680,819118,841330,-4652033
305,677641,700279,719717,741389,763856,775903,796360,818868,841059,863781
306,677606,700250,719805,741133,763899,775889,796091,818804,False,863862
307,677525,700461,719717,741251,763992,775743,795448,818971,841360,864103
308,677616,700232,719449,741479,764298,775685,795411,819003,841442,863835
309,677396,699917,719136,False,764699,775805,795770,819019,841188,863957
310,677495,700036,719026,1483553,764736,776034,796001,819190,841135,863731
311,677687,699921,718931,16710,764918,776039,796482,819029,840888,863393
312,677617,700220,718997,742177,764794,776277,796806,819045,841097,863632
313,677702,700335,719374,741587,764425,775975,796855,818828,841235,863968
314,677615,700285,719647,741234,764488,775753,796270,818479,841125,864053
315,677541,700361,719773,741234,764131,775915,795495,818566,841308,864094
316,677763,700114,719649,741405,764151,775836,795434,818780,841293,863983
317,677502,700037,719331,741987,764401,775928,795442,818853,841342,False
318,677449,700090,719140,742115,764460,775818,795487,818941,841378,863802
319,677675,699896,718845,742023,764711,775815,796018,818840,841098,864080
320,677535,700274,719031,741849,764695,775944,796310,819114,841041,864353
321,677685,700286,719233,741488,764657,False,796761,818874,841131,864280
322,677663,700330,719504,741638,764604,775626,796798,818687,841203,864123
323,677733,700473,719730,741531,764290,775895,796351,818812,841328,863857
