,0.0 g,72.65 g,272.25 g,471.56 g,673.02 g,872.42 g,1148.61 g,1345.57 g,1544.88 g,1744.3 g,1943.91 g,2073.13 g,2272.74 g,2472.04 g,2671.46 g,2868.42 g,3149.09 g,3345.72 g,3545.14 g,3716.65 g,3913.6 g,4113.02 g,4312.33 g,4513.81 g,4792.61 g,4992.03 g,5193.52 g,5392.82 g,5589.76 g,5789.34 g,5889.38 g,172.7 g,118.07 g
597,112901,121032,143780,166430,189275,212298,243953,266607,288972,311930,334764,350001,371986,394986,416815,439851,472148,494569,517050,False,560139,582712,604334,628340,659417,682191,705218,728692,750352,773894,785527,132308,126225
598,112717,121241,143748,166832,189424,212519,243701,266324,289113,312022,334639,349970,372010,393509,416985,439958,472236,False,517314,537172,559476,582880,604142,628421,659770,682531,706057,728462,750528,773647,False,132544,126171
599,112903,120863,143704,166722,189437,212893,243768,266179,288832,311759,334580,349958,372086,392679,417490,439939,472107,494750,517395,537355,557958,582280,604605,628013,659913,682325,706327,727905,750711,773521,False,False,126159
600,112702,121056,144072,166596,189405,212490,243578,266397,288993,312038,334473,349358,371890,393261,418323,440070,472370,494645,517654,537522,556746,582080,604982,627861,660065,682509,706793,727342,750828,773229,784739,2117055,126171
601,112727,120964,143617,166630,189583,212158,243659,266254,289191,312234,334769,349077,372263,394379,418332,440389,472322,494559,517521,537407,557112,581802,605404,627643,660100,682748,706737,727549,751012,773056,784675,66935,126101
602,112785,121006,143655,166554,189550,212455,243918,266371,289054,311983,334740,349063,372183,395829,418262,440112,472336,494850,517600,537059,558819,581705,605358,627559,659859,682517,705575,727665,750816,False,784378,132518,126267
603,112689,121172,143926,166701,189604,212273,False,266304,289070,311793,334626,348996,372331,396892,417810,440182,472372,494382,517633,536927,561180,581964,604849,627861,660010,682644,704572,728363,751087,773643,784712,132367,126218
604,112815,120954,143866,166560,189400,212600,-1876993,266104,288745,311434,334640,349465,False,396691,417329,440124,472141,494293,517072,536436,562309,582101,604847,627585,False,682255,703707,729297,751089,773944,784672,132529,126353
605,112699,121168,143942,166307,189544,212337,244021,266187,289117,311604,334526,349458,372113,396040,417309,440103,472224,494326,517466,536501,562637,582606,604398,627971,1186559,682381,703865,729176,750570,773787,784885,132608,126532
606,112831,121123,143733,166621,189879,212268,243670,266173,289264,311896,334789,349756,372424,394722,417163,440116,472001,494714,517163,536920,560873,582534,604577,628110,659703,682743,704888,728803,750700,773890,785316,132516,126110
607,112897,121188,143931,166496,189452,212421,243717,266659,289012,311844,334796,349904,371997,393586,417549,439872,False,False,517093,536847,557930,582361,604970,627987,659705,682646,706270,728224,750391,773472,785016,132554,126214
608,112576,121199,143764,166586,189476,212068,243753,266761,289083,312227,334840,349508,372195,393285,418105,440319,472530,1980507,517213,537281,556740,582455,604954,627958,659564,682921,False,727957,750651,773409,785300,132366,126151
609,112748,121031,143769,166635,189440,212453,243896,266225,288862,312020,False,349396,372289,393292,418053,440353,472066,248030,517239,537323,556405,581879,605142,627668,660105,682767,706251,727524,750810,773300,785119,132569,126338
610,112692,121343,143961,166587,189464,212483,244426,266228,288946,311842,334534,348865,371978,394540,418164,440257,472051,494504,517486,537214,557587,581958,604786,627919,660281,682908,705509,727538,False,773241,784832,132545,126444
611,112651,121047,False,166711,189708,212327,244041,266087,289196,False,334460,348779,372130,395770,417895,440235,472179,494695,517476,537282,559942,581986,604877,627908,659973,682538,704271,728043,750646,773443,784638,132260,126269
612,112790,False,143749,166498,189594,212331,243593,266294,289113,311813,334884,348948,371857,False,False,439866,472234,False,517378,False,561925,581781,604957,627959,659983,682119,704317,728146,750440,773382,784499,132309,126430
613,112579,121065,143993,166671,189872,212048,243453,266408,289376,311727,334949,349183,372140,393652,6193151,440253,472676,494645,517547,536319,562508,582324,604641,628306,659418,682339,704556,728854,750848,773688,784823,132311,126052
614,112838,121198,143614,166473,189736,212382,243500,266252,289151,311950,334577,349871,372204,394673,417241,440132,472270,494732,517268,536375,561396,582376,605018,628253,659344,682127,705110,728856,751055,773856,785124,132446,125997
615,112508,121016,144005,166382,189357,212476,244110,266455,288960,311972,334799,349958,372057,395964,417018,440089,471990,494818,517563,536940,559847,582534,605098,628356,659520,682611,705778,728466,750926,773720,785658,132567,126197
616,112582,121314,144083,166804,189738,212381,243908,False,289055,312167,334348,349790,372206,396036,417297,440299,471948,494273,517344,537113,557785,582404,605407,627912,659634,682608,706493,728599,751141,False,785728,132356,126007
617,112894,121355,143639,166641,189572,212610,243935,2195455,288733,311974,334364,349697,372145,395972,417380,440178,471897,494395,517180,537844,556486,582142,605318,627411,659922,682379,707256,728151,750726,773453,785367,132412,126264
618,112689,121110,143757,166575,189638,212162,243788,266361,False,311580,334664,349146,372188,395299,417795,440394,472501,494638,517248,537786,557315,582190,604998,627448,659896,682921,706545,727905,750772,773518,785159,132293,126121
619,112960,121218,143684,166757,189615,212308,243477,266511,289232,311775,334604,349180,372105,394295,418257,440172,472544,494704,517144,536953,558345,581759,605195,627661,660211,682664,705664,727837,750935,773214,784663,132343,126197
620,112747,121047,143889,166579,189538,False,243848,266324,289133,311944,334788,348843,371942,394159,417832,439992,472726,494883,517629,536394,559864,581819,604495,628423,660167,682583,704563,727842,750875,773606,784378,132646,126359
621,112714,121248,143923,166585,189478,-2097153,243892,266439,289070,312360,334628,348852,372141,394056,417576,440235,472699,494567,517456,536131,561408,581862,604441,628845,660104,682373,703849,728591,750766,773578,784522,132528,126079
622,112828,121219,143697,166385,189146,212333,243902,266238,289065,312161,334524,349437,371969,394529,417216,439998,472166,494511,517407,536593,561875,582109,604767,628833,659898,682082,704188,False,750450,773731,784613,132697,126376
623,112496,120980,143898,166521,189774,212588,243847,266522,288843,311770,334837,349460,372103,395139,417255,False,471935,494412,517582,537003,561545,582770,604950,628238,659368,682198,704834,728602,750690,773824,785464,132475,126231
624,False,121210,143768,166625,189787,212339,243619,266517,289154,311604,334785,349816,372008,395516,417405,880195,471710,494494,517182,537326,560007,582484,605391,627083,659266,682057,706351,728091,750900,773596,785614,132425,126179
625,112513,121057,143760,166591,189589,212312,243879,266313,289221,311559,334784,349739,371944,395984,417357,17338,471805,494878,517341,537597,558176,582307,605019,626976,659219,682751,707411,728156,751073,773786,785626,132690,126370
626,112793,121051,143865,166767,189768,212245,243877,266422,289408,311967,False,349509,372169,395558,417610,440017,472108,494700,517301,536981,556859,581934,604687,627264,659593,683160,707210,727858,False,773399,785535,132434,126061
627,112646,121131,143701,166524,189539,212209,244024,266307,289264,312216,-7077889,349386,372158,395025,417623,440161,472292,494911,517378,536761,556537,581878,604473,627595,660127,683169,706320,728315,-1245697,773549,784956,132604,False
628,112799,120965,144050,166470,189587,212601,243855,266312,288939,312166,334423,349006,372347,394388,417799,440244,472760,494884,517631,536708,558197,582252,604546,628485,660292,683140,704809,728517,750919,773642,784732,132487,126167
629,112707,121193,143736,166639,189396,212439,243430,266251,288970,312047,334759,349034,372516,393794,417840,440194,472723,494422,517620,536889,560359,582092,605114,628847,660557,682268,704003,728315,750846,773338,784297,132433,125950
630,112620,121046,143750,166604,189434,212528,243731,266086,288728,311573,334597,349223,372147,394243,417787,440563,472570,494524,517739,537385,562135,582335,605186,628843,660356,682035,704033,728558,750635,773640,784476,132635,126338
631,112686,121051,143798,166700,189816,212363,243794,266246,288900,311745,334867,349607,372123,394642,417955,440192,472480,494328,517408,537228,562469,582122,605160,628287,659956,681792,704667,728219,750408,773616,785070,132340,126111
632,112599,121045,143619,166458,189382,212151,243982,266155,289198,311628,334752,349788,371761,395253,417638,440026,471673,494447,517311,537106,560548,582162,604946,627926,659684,681724,706001,728392,750809,773576,785196,132466,126274
633,112718,120886,143857,166599,189575,212489,244159,266280,289194,311835,334696,349396,372023,395772,417480,440156,471540,494540,517492,536538,558598,582622,604632,627823,659236,682375,706642,728342,750789,False,785571,132373,126333
634,112507,121254,143800,166559,189599,212406,243789,266548,False,312239,334868,349448,372072,395815,417405,439923,471590,494460,517254,536294,557064,582397,605103,627231,659100,682660,706852,728086,750889,1966079,785634,132389,126266
635,112337,121271,143803,166518,189448,212642,False,266536,288870,312046,334726,349379,372007,395666,417228,440074,472117,494763,517362,536815,557021,582501,605162,627494,659220,683009,706424,728161,750646,773374,785525,132578,126483
636,112605,121257,144070,166713,189834,212552,243682,266500,289104,312021,334781,349324,False,394667,417633,440157,472833,494738,517194,537017,558283,582003,605450,627628,659549,683066,705335,727902,750674,773610,785442,132356,126146
637,112435,121311,143778,166444,189619,212012,243561,266053,289083,311605,334404,349558,-2680705,394002,417961,False,472698,494904,517396,537484,559542,581798,605068,627914,False,682834,704694,728127,751091,773507,784745,132618,126256
