,0.0 g,72.65 g,269.84 g,470.02 g,669.36 g,870.88 g,1070.5 g,1347.91 g,1549.41 g,1748.85 g,1945.82 g,2145.44 g,2272.46 g,2469.43 g,2668.86 g,2870.37 g,3069.99 g,3350.48 g,3549.81 g,3749.24 g,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
46,230235,238158,260637,283195,306201,328822,351353,382827,405686,428096,450662,473565,487876,510125,532773,555861,578087,609934,632638,655231,676904,700348,720130,742271,763915,776120,795955,819087,841079,863800
47,230146,238063,260861,283321,306018,329005,351512,382759,405590,428651,FALSE,473141,487809,510470,533079,555985,577971,609658,632595,654983,677310,700477,720494,742349,763994,775798,795875,819291,841085,863559
48,230133,238241,260663,283219,305957,328769,351589,382916,405454,428675,450806,473217,487995,510615,532907,555711,577973,609799,632465,654923,677559,700549,720090,742118,764421,775706,795708,819060,840875,863531
49,229916,238293,260596,283158,305920,328848,351387,383142,405661,428730,450546,473350,488119,510239,532736,555545,578218,609981,632500,655044,677702,700023,719158,741543,764563,775613,795673,818953,841077,863586
50,229919,238377,260697,283186,305910,328868,351591,383065,405759,428541,450570,473575,487851,510099,532777,555237,578223,609860,632628,654876,677966,699974,718633,741085,764897,775854,796054,FALSE,841143,863810
51,230233,238115,260587,283153,306080,328513,351601,383217,405670,428274,450753,473665,487898,509901,FALSE,554913,578367,610063,632814,655204,677956,699833,717792,741073,764945,775966,796111,-5373953,841233,864073
52,230273,238239,260658,283339,305908,328544,351518,383039,405900,428288,450759,473344,487668,509827,532910,555338,578457,610200,632843,655321,677528,699936,718177,741224,764699,775841,796366,818765,841308,863995
53,230445,238517,260729,283259,305850,328676,FALSE,382870,405815,428283,451023,473330,487579,510182,532880,555680,578385,610089,632660,655229,677471,700379,719140,741826,764489,776094,796341,818850,841281,863715
54,230126,238426,FALSE,283310,305919,328660,351516,383017,405688,428467,450672,473298,487641,510197,532617,555862,578292,610113,632808,655323,677162,700332,719573,FALSE,764240,776112,796132,818788,841315,863771
55,230002,238540,8342847,283278,305843,328758,351444,382912,405825,428432,450436,473221,487682,510277,532684,556029,577830,609985,632561,655216,677228,700500,FALSE,741242,764342,775867,796174,818840,841272,FALSE
56,230269,FALSE,260694,283257,305889,328843,351287,382985,405809,428306,450563,473478,487909,510229,532654,555892,577723,610066,632516,655148,677312,700420,2882055,741314,FALSE,775898,795940,819028,841221,-5011457
57,230125,1179647,260534,283290,305819,329033,351328,383015,405907,428213,450559,473491,487927,510438,532747,555810,577886,609865,632693,655070,677399,700419,360040,741800,764462,775676,795838,818950,FALSE,863532
58,230034,238132,260624,283068,305852,328876,351269,382897,405793,428059,450900,473684,487991,510378,532915,555525,578076,609808,632529,654910,677902,700335,720184,742086,764108,775709,795903,819151,841248,863825
59,230107,238323,260679,282977,305960,328538,351542,382892,405669,428325,450942,473738,487933,510183,532743,555201,578487,610147,632647,655136,678096,699769,719364,742354,764226,775784,795798,819051,841368,863768
60,230087,238266,260680,FALSE,305840,328549,351478,382842,405803,428503,450849,473461,487623,510204,532774,FALSE,578587,610254,632596,655398,678092,699745,718650,742034,764254,775636,796111,818908,841044,863952
61,230062,238366,260734,-6036993,306024,328567,351329,383042,405609,428547,450942,473340,487738,509916,532909,-871425,578461,610526,632549,655653,677818,700003,718229,741393,764567,775897,796215,818879,841109,863788
62,230112,238310,260688,282936,305990,328645,351434,383340,405883,428741,450540,473123,487906,509902,532841,555498,578464,610449,632723,655747,677317,699925,718535,741313,764680,776129,796247,818548,841245,863741
63,230243,238396,260682,283147,305908,329026,351169,383119,406165,428559,FALSE,473245,487923,510184,532835,555647,578181,610024,632555,655328,677281,700488,718931,741332,764549,776108,796298,818708,841175,863808
