,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Time Difference Between LC4 – LC1,Time Between First Measurements
43,33295,204886,-54362,425188,1584459847.91807,1584459847.91853,1584459847.92912,1584459847.92961,0.011546850204468,0.012135982513428
44,33141,205225,-54355,425284,1584459847.9302,1584459847.93069,1584459847.94127,1584459847.94175,0.011545181274414,0.01202130317688
45,33506,204453,-54150,425144,1584459847.94222,1584459847.94269,1584459847.95327,1584459847.95374,0.011516332626343,0.011986017227173
46,33056,204504,-54244,425060,1584459847.95421,1584459847.9547,1584459847.96532,1584459847.9658,0.011589050292969,0.012066602706909
47,33389,204584,-54156,425079,1584459847.96628,1584459847.96674,1584459847.97731,1584459847.97782,0.011543273925781,0.01201605796814
48,33362,204586,-54230,425009,1584459847.97829,1584459847.97879,1584459847.98939,1584459847.98986,0.011567831039429,0.012131929397583
49,33154,204430,-54224,424919,1584459847.99042,1584459847.99089,1584459848.00146,1584459848.00193,0.011506795883179,0.011976480484009
50,33389,204426,-54191,424917,1584459848.0024,1584459848.0029,1584459848.01353,1584459848.014,0.011602163314819,0.012073278427124
51,33478,204639,-54197,425085,1584459848.01447,1584459848.01494,1584459848.02556,1584459848.02606,0.011581420898438,0.012067317962647
52,33454,204494,-54157,424984,1584459848.02654,1584459848.02702,1584459848.0376,1584459848.03807,0.011525392532349,0.011994123458862
53,33290,204448,-54057,425066,1584459848.03854,1584459848.039,1584459848.04958,1584459848.11425,0.075717687606812,0.076273202896118
54,33344,204553,-54113,425072,1584459848.11481,1584459848.11528,1584459848.11574,1584459848.12634,0.011531829833984,0.012013912200928
55,33450,204628,-54051,424932,1584459848.12682,1584459848.12729,1584459848.12775,1584459848.13834,0.011513710021973,0.012025117874146
56,33333,204543,-54121,425081,1584459848.13885,1584459848.13931,1584459848.13978,1584459848.15047,0.011626243591309,0.012101173400879
57,33320,204367,-54040,425043,1584459848.15095,1584459848.15141,1584459848.15188,1584459848.16248,0.011530160903931,0.012044668197632
58,33277,204506,-54155,425107,1584459848.16299,1584459848.16346,1584459848.16393,1584459848.17454,0.011544227600098,0.012024641036987
59,33253,204622,-54038,425019,1584459848.17502,1584459848.17548,1584459848.17595,1584459848.18654,0.0115225315094,0.01201605796814
60,33243,204674,-54111,425009,1584459848.18703,1584459848.1875,1584459848.18797,1584459848.19856,0.011524438858032,0.011994361877441
61,33232,204746,-54223,425117,1584459848.19903,1584459848.19949,1584459848.19998,1584459848.21063,0.011605262756348,0.012104272842407
62,33518,204635,-54134,424967,1584459848.21113,1584459848.2116,1584459848.21206,1584459848.22264,0.011509895324707,0.011977434158325
63,33492,204466,-54068,424934,1584459848.22311,1584459848.22357,1584459848.22403,1584459848.23465,0.011537313461304,0.012024164199829
64,33290,204661,-54097,424846,1584459848.23513,1584459848.2356,1584459848.23606,1584459848.24664,0.011505603790283,0.011977195739746
65,33305,204648,-54242,424752,1584459848.24711,1584459848.24758,1584459848.24804,1584459848.25867,0.011561155319214,0.012063026428223
66,33218,204762,-54292,424867,1584459848.25917,1584459848.25964,1584459848.2602,1584459848.27082,0.011642217636108,0.012121200561524
67,33390,204596,-54127,424980,1584459848.2713,1584459848.27176,1584459848.27222,1584459848.28283,0.011535882949829,0.012007236480713
68,33462,204389,-54264,425049,1584459848.2833,1584459848.28377,1584459848.28423,1584459848.29483,0.011526823043823,0.012000322341919
69,33317,204462,-54237,424986,1584459848.2953,1584459848.29577,1584459848.29623,1584459848.30685,0.011542320251465,0.012016773223877
70,33389,204403,-54111,424846,1584459848.30732,1584459848.30779,1584459848.30825,1584459848.31887,0.011550664901733,0.012027025222778
71,33442,204512,-54139,424962,1584459848.31935,1584459848.31981,1584459848.32038,1584459848.331,0.011651515960693,0.01213002204895
72,33382,204627,-53994,425111,1584459848.33148,1584459848.33196,1584459848.34255,1584459848.34303,0.011555194854736,0.01203203201294
73,33209,204686,-53979,425118,1584459848.34351,1584459848.34398,1584459848.35459,1584459848.35509,0.011582374572754,0.012055397033691
74,33293,204665,-54158,425014,1584459848.35556,1584459848.35603,1584459848.36662,1584459848.36709,0.011527538299561,0.01200008392334
75,33464,204670,-54200,425123,1584459848.36756,1584459848.36803,1584459848.37865,1584459848.37914,0.011577129364014,0.01204776763916
76,33313,204775,-54158,425241,1584459848.37961,1584459848.38017,1584459848.39075,1584459848.39122,0.011610269546509,0.012082099914551
77,33229,204504,-54173,425093,1584459848.39169,1584459848.44274,1584459848.44323,1584459848.44371,0.052011013031006,0.052482843399048
78,33413,204502,-54281,424971,1584459848.44418,1584459848.45475,1584459848.45523,1584459848.45574,0.011564493179321,0.012039422988892
79,33499,204726,-54105,425013,1584459848.45622,1584459848.46685,1584459848.46732,1584459848.4678,0.01158332824707,0.012057065963745
80,33302,204662,-54183,425151,1584459848.46827,1584459848.47887,1584459848.47934,1584459848.47982,0.011545419692993,0.012110948562622
81,33320,204646,-54143,425101,1584459848.48039,1584459848.491,1584459848.49147,1584459848.49194,0.011553764343262,0.01202392578125
82,33457,204672,-54075,424954,1584459848.49241,1584459848.50302,1584459848.50349,1584459848.50396,0.011554718017578,0.012025594711304
83,33493,204504,-54197,425054,1584459848.50443,1584459848.51507,1584459848.51554,1584459848.51602,0.01158356666565,0.012060403823853
84,33343,204697,-54203,425142,1584459848.5165,1584459848.52711,1584459848.52757,1584459848.52804,0.011548757553101,0.012021541595459
85,33456,204703,-54076,425068,1584459848.52852,1584459848.53913,1584459848.5396,1584459848.54017,0.011655330657959,0.012158632278442
86,33407,204596,-54092,425068,1584459848.54068,1584459848.55125,1584459848.55171,1584459848.55218,0.011508464813233,0.011980295181275
87,33307,204625,-54113,425037,1584459848.55266,1584459848.55312,1584459848.56374,1584459848.56422,0.011561155319214,0.012075662612915
88,33469,204470,-54093,425054,1584459848.56473,1584459848.56521,1584459848.57579,1584459848.57627,0.011541843414307,0.012021541595459
89,33409,204621,-54138,425170,1584459848.57675,1584459848.57722,1584459848.58782,1584459848.58829,0.011537551879883,0.012040138244629
90,33257,204716,-54124,425109,1584459848.58879,1584459848.58925,1584459848.59985,1584459848.60043,0.011632204055786,0.01210618019104
91,33247,204699,-54116,425065,1584459848.6009,1584459848.60136,1584459848.61199,1584459848.61247,0.011568784713745,0.012086868286133
92,33302,204523,-54043,425159,1584459848.61299,1584459848.61345,1584459848.62405,1584459848.62452,0.011534452438355,0.012004852294922
93,33509,204473,-54096,425056,1584459848.62499,1584459848.62545,1584459848.63603,1584459848.6365,0.011505603790283,0.012004375457764
94,33324,204643,-54034,425036,1584459848.637,1584459848.63746,1584459848.64805,1584459848.64853,0.011532306671143,0.01200270652771
95,33298,204618,-54272,425018,1584459848.649,1584459848.64946,1584459848.66013,1584459848.66068,0.011681318283081,0.012156248092651
96,33234,204579,-54174,425059,1584459848.66115,1584459848.66162,1584459848.67221,1584459848.67268,0.011527538299561,0.011999130249024
97,33220,204457,-54050,425108,1584459848.67315,1584459848.67361,1584459848.68421,1584459848.68471,0.011555194854736,0.012028217315674
98,33412,204506,-54154,425057,1584459848.68518,1584459848.68564,1584459848.69622,1584459848.69669,0.011508464813233,0.011979818344116
99,33374,204780,-54148,425115,1584459848.69716,1584459848.69764,1584459848.70824,1584459848.70874,0.011578321456909,0.012050628662109
